"method","route","permissions","file","line"
"GET","/","jobs.applications.view_list","packages/api/routes/adminApplications.ts","154"
"POST","/","jobs.applications.create","packages/api/routes/adminApplications.ts","328"
"GET","/:id","jobs.applications.view_detail","packages/api/routes/adminApplications.ts","545"
"PATCH","/:id/stage","jobs.applications.change_stage","packages/api/routes/adminApplications.ts","710"
"PATCH","/:id/hire","jobs.applications.hire","packages/api/routes/adminApplications.ts","844"
"POST","/:id/employee","employees.create","packages/api/routes/adminApplications.ts","974"
"POST","/:id/employee-legacy-disabled","employees.create","packages/api/routes/adminApplications.ts","1193"
"PATCH","/:id/decision","jobs.applications.record_decision","packages/api/routes/adminApplications.ts","1345"
"PATCH","/:id/escalate","jobs.applications.escalate","packages/api/routes/adminApplications.ts","1480"
"PATCH","/:id/resolve-escalation","jobs.applications.resolve_escalation","packages/api/routes/adminApplications.ts","1566"
"PATCH","/:id/notes","jobs.applications.edit_notes","packages/api/routes/adminApplications.ts","1641"
"PATCH","/:id/archive","jobs.applications.archive","packages/api/routes/adminApplications.ts","1684"
"GET","/:id/audit-logs","jobs.applications.view_audit_logs","packages/api/routes/adminApplications.ts","1770"
"GET","/","branches.view|branches.lookup|reference_data.lookup","packages/api/routes/branches.ts","110"
"GET","/:id","branches.view|branches.lookup|reference_data.lookup","packages/api/routes/branches.ts","165"
"POST","/","branches.manage","packages/api/routes/branches.ts","243"
"PUT","/:id","branches.edit|branches.manage","packages/api/routes/branches.ts","347"
"DELETE","/:id","branches.manage","packages/api/routes/branches.ts","468"
"GET","/","candidates.view_list","packages/api/routes/candidates.ts","460"
"POST","/","candidates.create","packages/api/routes/candidates.ts","569"
"POST","/:id/link-client","candidates.edit","packages/api/routes/candidates.ts","640"
"PUT","/:id","candidates.edit","packages/api/routes/candidates.ts","829"
"DELETE","/:id","candidates.delete","packages/api/routes/candidates.ts","955"
"GET","/","clients.view_list","packages/api/routes/clients.ts","730"
"GET","/:id/account-statement","clients.account_statement.view","packages/api/routes/clients.ts","919"
"GET","/:id","clients.view","packages/api/routes/clients.ts","1047"
"GET","/:id/network","clients.network.view","packages/api/routes/clients.ts","1104"
"POST","/","clients.create","packages/api/routes/clients.ts","1275"
"PUT","/:id","clients.edit|clients.contacts.edit","packages/api/routes/clients.ts","1450"
"DELETE","/:id","clients.delete","packages/api/routes/clients.ts","1664"
"POST","/bulk-delete","clients.delete","packages/api/routes/clients.ts","1776"
"POST","/:id/cooldown","clients.contact_control.edit","packages/api/routes/clients.ts","1833"
"DELETE","/:id/cooldown","clients.cooldown_unlock","packages/api/routes/clients.ts","1884"
"PATCH","/:id/do-not-contact","clients.contact_control.edit","packages/api/routes/clients.ts","1922"
"GET","/:id/printable","contracts.view_list","packages/api/routes/contractDocuments.ts","240"
"POST","/:id/printable/freeze","contracts.edit","packages/api/routes/contractDocuments.ts","317"
"GET","/","contracts.view_list","packages/api/routes/contracts.ts","420"
"GET","/:id","contracts.view_list","packages/api/routes/contracts.ts","479"
"POST","/","contracts.create","packages/api/routes/contracts.ts","686"
"PUT","/:id","contracts.edit","packages/api/routes/contracts.ts","949"
"POST","/:id/payment-entries","contracts.edit","packages/api/routes/contracts.ts","1188"
"POST","/:id/installments","contracts.edit","packages/api/routes/contracts.ts","1281"
"POST","/:id/installments/confirm","contracts.edit","packages/api/routes/contracts.ts","1345"
"DELETE","/:id","contracts.delete","packages/api/routes/contracts.ts","1394"
"PUT","/:id/line-items/:itemId/installation","contracts.edit","packages/api/routes/contracts.ts","1464"
"GET","/:customerId/calls","clients.call_log.view","packages/api/routes/customerCalls.ts","124"
"GET","/:customerId/calls/stats","clients.call_log.view","packages/api/routes/customerCalls.ts","253"
"POST","/:customerId/calls","clients.call_log.create|telemarketing.calls.create","packages/api/routes/customerCalls.ts","395"
"PATCH","/calls/:callId","clients.call_log.edit|telemarketing.calls.create","packages/api/routes/customerCalls.ts","661"
"GET","/:id/purchase-history","clients.purchase_history.view","packages/api/routes/customerCalls.ts","838"
"GET","/:id/parts-stock","clients.parts_stock.view","packages/api/routes/customerCalls.ts","1073"
"GET","/:id/pre-offers","clients.pre_offers.view|contracts.view_list","packages/api/routes/customerPreOffers.ts","45"
